user_id,date,tweet,compound,positive,negative,neutral
17842366.0,Sat Apr 07 15:30:09 +0000 2018,"Take the weekend to #DiscoverNationalParks with us! This weekend, we are featuring the Padre Island National Seasho… https://t.co/GWIJd6YX4f",0.0,0.0,0.0,1.0
17842366.0,Sat Apr 07 08:00:07 +0000 2018,"The @MoonshinersTV are always putting new moonshine recipes to the test - watch now on Discovery GO

https://t.co/0UXkQQUalc",0.0,0.0,0.0,1.0
17842366.0,Fri Apr 06 21:30:11 +0000 2018,RT @DeadliestCatch: #DidYouKnow less than 1 in 10 greenhorns make it to their second season? Meet two rookies who t… https://t.co/Y6fAqF50CV,0.0,0.0,0.0,1.0
17842366.0,Fri Apr 06 17:46:07 +0000 2018,RT @Gold_Rush: Everyone is going to get their hands dirty tonight  --- Parker's Trail starts at 9p ET🚰 https://t.co/psD90vFsUk,-0.4404,0.0,0.139,0.861
17842366.0,Fri Apr 06 16:30:48 +0000 2018,"RT @ScienceChannel: This non-newtonian fluid's name was derived from Dr. Seuss' ""Bartholomew and the Oobleck,"" published in 1949. #oobleck…",0.0,0.0,0.0,1.0
17842366.0,Fri Apr 06 16:29:44 +0000 2018,RT @AnimalPlanet: The last hug you'd ever want to receive is one from an anaconda. Remember this from #RiverMonsters? https://t.co/SOXmbpk0…,0.5267,0.196,0.0,0.804
17842366.0,Fri Apr 06 15:00:42 +0000 2018,"The lionfish gets its name from the large, venomous spines that protrude from its body, similar to a mane. This ven… https://t.co/4UUhqrsmjQ",0.0,0.0,0.0,1.0
17842366.0,Fri Apr 06 10:00:10 +0000 2018,There's always extra time to monkey around. 🐵 Catch up with the @FastNLoudTV team on Discovery GO,0.0,0.0,0.0,1.0
17842366.0,Fri Apr 06 10:00:09 +0000 2018,"The @BeringSeaGold team *welcomed* newcomer Ken - but will he find gold?

https://t.co/DGtNSaRcjV",0.0,0.0,0.0,1.0
17842366.0,Fri Apr 06 08:00:07 +0000 2018,"Could you survive naked, without food, for 21 days right after a hurricane had blasted through your camp?

Watch… https://t.co/gTvGteU5Rz",0.0,0.0,0.0,1.0
17842366.0,Fri Apr 06 02:30:05 +0000 2018,RT @StreetOutlaws: #StreetOutlaws @AZN_Farmtruck been eating up super cars for years! So who really has the… https://t.co/fFc0MYcWH4,0.636,0.208,0.0,0.792
17842366.0,Thu Apr 05 23:00:23 +0000 2018,"Did you get to see last night's race in San Antonio? Watch the @StreetOutlaws now on Discovery GO
https://t.co/k4jWpoh6Vv",0.0,0.0,0.0,1.0
17842366.0,Thu Apr 05 16:57:53 +0000 2018,"RT @NakedAndAfraid: Welcome back..................MATT WRIGHT 🎉

Matt will be tracking the XL tribes on a SOLO challenge in an exclusive Di…",0.5859,0.266,0.0,0.734
17842366.0,Thu Apr 05 16:47:17 +0000 2018,"RT @BeringSeaGold: ""I can't hear you right now my gold's too big.""

Check out this sneak peek of tomorrow's brand new Bering Sea Gold https…",0.0,0.0,0.0,1.0
17842366.0,Thu Apr 05 15:00:29 +0000 2018,My face when I realize it's almost Friday and I can sleep for 10 hours on Saturday. https://t.co/NNvAuAsYrP,0.0,0.0,0.0,1.0
17842366.0,Thu Apr 05 10:00:10 +0000 2018,"Tour the @DeadliestCatch boats in 360 degrees ⚓

https://t.co/pypcOiSM8Y",0.0,0.0,0.0,1.0
17842366.0,Thu Apr 05 08:00:11 +0000 2018,"Learn more about the life of @MoonshinersTV Mark and Digger and the whiskey business on Discovery GO now 

https://t.co/QTP4UggjC9",0.0,0.0,0.0,1.0
17842366.0,Wed Apr 04 19:06:04 +0000 2018,dogs or cats? 🐱🐶🐱🐶🐱🐶,0.0,0.0,0.0,1.0
17842366.0,Wed Apr 04 18:34:32 +0000 2018,"RT @SharkWeek: AI, drones, and sonar beaming buoys are being tested to help prevent shark attacks. 🦈 The drones fly hourly patrols with sha…",-0.0258,0.142,0.109,0.749
17842366.0,Wed Apr 04 18:34:08 +0000 2018,"RT @AnimalPlanet: Wise, wrinkly puppies... 🧐 https://t.co/rxlvqC7iKb",0.4767,0.383,0.0,0.617
17842366.0,Wed Apr 04 18:31:31 +0000 2018,"RT @WhereIsPaulJr: For those asking, all episodes of #AmericanChopper, including the most recent, are on Discovery GO. The new series retur…",0.0,0.0,0.0,1.0
17842366.0,Wed Apr 04 17:48:41 +0000 2018,"Watch the sneak peek for the upcoming season of @DeadliestCatch now 🦀

https://t.co/oliBx7rvwJ",0.0,0.0,0.0,1.0
17842366.0,Wed Apr 04 15:00:28 +0000 2018,The Crab Nebula is a supernova remnant that spans about 10 light-years. 🦀 It is considered one of the most intricat… https://t.co/Dt0YYLQB19,0.0,0.0,0.0,1.0
17842366.0,Wed Apr 04 10:00:11 +0000 2018,"Watch Stephen Hawking discuss physics, the universe, and the purpose of human life now https://t.co/f5aMhvNaIj",0.0,0.0,0.0,1.0
17842366.0,Wed Apr 04 08:00:09 +0000 2018,"Watch Stephen Hawking discuss physics, the universe, and the purpose of human life now https://t.co/dXlGvEwIlh",0.0,0.0,0.0,1.0
17842366.0,Tue Apr 03 18:32:26 +0000 2018,#DidYouKnow less than 1 in 10 @DeadliestCatch greenhorns make it to their second season? Meet two rookies who think… https://t.co/Nv2yw2glEo,0.0,0.0,0.0,1.0
17842366.0,Tue Apr 03 17:37:39 +0000 2018,"Catch up with Richard and the rest of the @FastNLoudTV crew on Discovery GO now
https://t.co/bL6yR7jEvA",0.0,0.0,0.0,1.0
17842366.0,Tue Apr 03 17:09:06 +0000 2018,RT @FastNLoudTV: Did y'all catch the donut face-off between @GasMonkeyGarage's Christie and Daphne last night on… https://t.co/gT5Mahoi7o,0.0,0.0,0.0,1.0
17842366.0,Tue Apr 03 15:00:21 +0000 2018,"“Tigers are territorial animals, they move around their territory to check for any intrusion by another tiger.” 

-… https://t.co/afcWxeh3Hy",0.0,0.0,0.0,1.0
17842366.0,Tue Apr 03 10:00:10 +0000 2018,"Where did all of the crabs go? 🦀

Catch up with the @DeadliestCatch crew on Discovery GO now

https://t.co/xOubp475z5",0.0,0.0,0.0,1.0
17842366.0,Tue Apr 03 08:00:11 +0000 2018,Only the #AmericanChopper team can design a motorcycle based off of a spider 🕷️ https://t.co/BXmBE2ot5v,0.0,0.0,0.0,1.0
17842366.0,Mon Apr 02 23:00:17 +0000 2018,"What did you think about the season premiere of @BeringSeaGold?

https://t.co/jbDK3cQgcc",0.0,0.0,0.0,1.0
17842366.0,Mon Apr 02 17:47:45 +0000 2018,Last night's @NakedAndAfraid was a good reminder to not eat any plant that you can't identify.....no matter how hun… https://t.co/efvB8pYiZi,0.4265,0.138,0.051,0.811
17842366.0,Mon Apr 02 17:27:12 +0000 2018,RT @AnimalPlanet: One blow from an arapaima and it's lights out. https://t.co/CbnDTDWP2S,0.0,0.0,0.0,1.0
17842366.0,Mon Apr 02 17:27:04 +0000 2018,"RT @DiscoveryMotor: #AaronKaufman is turning a semi truck into a race car. Seriously. How you feeling about that, @ArclightFab?

All new #S…",-0.0516,0.071,0.08,0.849
17842366.0,Mon Apr 02 16:32:26 +0000 2018,"Get up close to the most extraordinary creatures on the planet... before they disappear. 😢

Watch, then join our gl… https://t.co/5uGP9bzGyI",0.0772,0.1,0.086,0.814
17842366.0,Mon Apr 02 00:01:21 +0000 2018,"RT @NakedAndAfraid: These horse flies are HUNGRY 🙈

All new Naked and Afraid TONIGHT at 9p ET https://t.co/A2h6Miywdl",0.0,0.0,0.0,1.0
17842366.0,Sun Apr 01 19:00:16 +0000 2018,How I feel after I've eaten everything in my Easter basket 🍭 https://t.co/zDYijxpww9,0.0,0.0,0.0,1.0
17842366.0,Sun Apr 01 15:15:05 +0000 2018,Baby chicks shouldn’t be the only ones having fun on #Easter! 🐊 These baby alligators are ready for some candy. https://t.co/zBtcjXhXpy,0.7263,0.253,0.0,0.747
17842366.0,Sun Apr 01 08:00:11 +0000 2018,"Learn more about one of the riskiest business ventures ever with the @MoonshinersTV crew

https://t.co/BKrkbdguWu",-0.3612,0.0,0.152,0.848
17842366.0,Sun Apr 01 00:01:04 +0000 2018,"""Flu season,"" is more than just a seasonal time of the year - it's a widespread epidemic that is threatening the fu… https://t.co/fyAGWpwSts",-0.7184,0.0,0.25,0.75
17842366.0,Sat Mar 31 23:00:19 +0000 2018,"Last night @BeringSeaGold introduced us to Ken, who started mining when he was only 4-years-old  👀

Watch the seaso… https://t.co/LamQOrz8eD",0.0,0.0,0.0,1.0
17842366.0,Sat Mar 31 21:18:22 +0000 2018,RT @AnimalPlanet: Monty's teeth need some serious TLC tonight on #InsideTheZoo! https://t.co/qSWl47k5R2,-0.1511,0.0,0.126,0.874
17842366.0,Sat Mar 31 21:17:16 +0000 2018,"RT @NASA_Wallops: The ASPIRE mission launched at 12:19 this afternoon, successfully conducting a test of a parachute that one day may be us…",0.5719,0.198,0.0,0.802
17842366.0,Sat Mar 31 20:55:48 +0000 2018,"Dive into the gold-rich jungles of Guyana, South America with Parker and Rick on the season premiere of @Gold_Rush:… https://t.co/nJrSrV3HkO",0.0,0.0,0.0,1.0
17842366.0,Sat Mar 31 15:30:15 +0000 2018,#DidYouKnow that the term #BlueMoon is actually just a generic name given to the second full moon to occur in a sin… https://t.co/uJ86obOAtE,0.0,0.0,0.0,1.0
17842366.0,Sat Mar 31 10:00:10 +0000 2018,"What can't the Gas Monkeys build?
https://t.co/uwSR91c0DC",0.0,0.0,0.0,1.0
17842366.0,Sat Mar 31 08:00:07 +0000 2018,"What has been your most embarrassing moment? The survivalists of @NakedAndAfraid have more than one...

https://t.co/sTiBezmxZY",-0.4391,0.0,0.162,0.838
17842366.0,Fri Mar 30 19:33:56 +0000 2018,"Ebola, named after the Ebola River in Africa, remains an #InvisibleKiller that few understand.

Learn more about th… https://t.co/qWIem7XaqV",0.0,0.0,0.0,1.0
17842366.0,Fri Mar 30 16:46:05 +0000 2018,"RT @Gold_Rush: Rick!? 😰

Don't miss the season premiere of Parker's Trail TONIGHT at 9p ET https://t.co/jiFNoB3Uaz",0.1867,0.104,0.0,0.896
17842366.0,Fri Mar 30 16:32:06 +0000 2018,"RT @BeringSeaGold: Riskier approaches, upgraded equipment, and wildly ambitious goals are fueling this summer's mining season in Nome, Alas…",0.1779,0.138,0.107,0.756
17842366.0,Fri Mar 30 15:15:05 +0000 2018,Jumping into the weekend like 👋 https://t.co/hEastcvWa5,0.3612,0.333,0.0,0.667
17842366.0,Fri Mar 30 10:00:08 +0000 2018,Any seaman's worst fear: https://t.co/Bv0WKi3Kgb,-0.8074,0.0,0.709,0.291
17842366.0,Fri Mar 30 08:00:08 +0000 2018,"Explore the universe from every angle with the late physicist, Stephen Hawking, on Discovery GO now
https://t.co/vNyBClxaOX",0.0,0.0,0.0,1.0
17842366.0,Fri Mar 30 02:45:05 +0000 2018,RT @StreetOutlaws: Those #NoPrepKings numbers are getting HOT. Can anyone claim the crown from @FireballCamaro??? C… https://t.co/hy0LLEERyS,0.0,0.0,0.0,1.0
17842366.0,Thu Mar 29 21:38:47 +0000 2018,"RT @ScienceChannel: To kick off the season, see how one of baseball's tools of the trade is made. Really fast. Happy #OpeningDay! #MLB #bas…",0.6452,0.157,0.0,0.843
17842366.0,Thu Mar 29 21:25:52 +0000 2018,"RT @BeringSeaGold: ""There's only one way for us, and that's up"" 

One more day until the premiere of Bering Sea Gold! https://t.co/P4qdym5I…",0.0,0.0,0.0,1.0
17842366.0,Thu Mar 29 21:19:13 +0000 2018,"Among the smartest of all animals, elephants continue to be in grave danger from poachers fueling the ivory trade.… https://t.co/UaT1zJC01H",-0.25,0.148,0.222,0.63
17842366.0,Thu Mar 29 17:00:43 +0000 2018,"Constantly evolving and killing, the flu remains one of the deadliest killers on the planet.

Watch… https://t.co/cPnMxyibqO",-0.9062,0.0,0.447,0.553
17842366.0,Thu Mar 29 10:00:15 +0000 2018,Could you survive 21 days in the Bayou? https://t.co/Pcfn1EvDmd,0.0,0.0,0.0,1.0
17842366.0,Thu Mar 29 08:00:13 +0000 2018,"Now is the perfect time to re-watch the entire series of @MoonshinersTV  
https://t.co/dZTBPFfDmc",0.5719,0.236,0.0,0.764
17842366.0,Wed Mar 28 22:05:45 +0000 2018,Pet more sharks #BetterYourselfIn3Words https://t.co/FhNVMSbNTI,0.0,0.0,0.0,1.0
17842366.0,Wed Mar 28 22:02:03 +0000 2018,"Take the day to eat, sleep, and travel underwater because it's #ManateeAppreciationDay 🐟 https://t.co/MxMQPDiOvT",0.0,0.0,0.0,1.0
17842366.0,Wed Mar 28 21:51:59 +0000 2018,RT @AnimalPlanet: Dogs like Raven are proof that special needs animals shouldn't be overlooked during the adoption process. #PitBullsandPar…,0.6456,0.282,0.0,0.718
17842366.0,Wed Mar 28 20:57:52 +0000 2018,RT @joeylogano: Going to be doing a live Q&amp;A twitter chat with fans tonight during the airing of #TwinTurbos! Make sure to tune in at 10p o…,0.3802,0.094,0.0,0.906
17842366.0,Wed Mar 28 18:25:28 +0000 2018,"Re-light the fuse with the @MoonshinersTV crew and watch last night's season finale now on Discovery GO
 
https://t.co/Rn2tr6dRwz",0.0,0.0,0.0,1.0
17842366.0,Wed Mar 28 17:31:22 +0000 2018,Join a conservation biologist on an interactive mission to learn how animals critical to the world’s ecosystem thri… https://t.co/dqlIAdx8rf,-0.0258,0.107,0.112,0.78
17842366.0,Wed Mar 28 16:57:36 +0000 2018,RT if you need a hug like this today! 🐬 https://t.co/QR76knuyg7,0.7088,0.457,0.0,0.543
17842366.0,Wed Mar 28 15:01:05 +0000 2018,"The deadliest virus in history has found a new way to threaten humankind once again.

Watch Invisible Killers this… https://t.co/vbzWN5jCag",-0.7845,0.0,0.289,0.711
17842366.0,Wed Mar 28 00:07:27 +0000 2018,"Insane fearlessness is the first requirement to becoming the captain of a ship.

Find out what else is needed and l… https://t.co/dowgUnwqeS",-0.1531,0.088,0.113,0.798
17842366.0,Tue Mar 27 23:15:06 +0000 2018,"RT @DiscoveryMotor: Dude, #AaronKaufman is turning a semi into a race truck... You gotta see this from last night's… https://t.co/IFjMsGIqbw",0.0,0.0,0.0,1.0
17842366.0,Tue Mar 27 21:13:49 +0000 2018,"RT @MoonshinersTV: The shiners explosive rivalries have finally hit a breaking point. 💥

Watch or stream TONIGHT's season finale of Moonshi…",0.0,0.0,0.0,1.0
