account,text,date,compound,positive,neutral,negative
BBC,"A small cut whilst playing with his dog cost this man his legs and some of his fingers. 

Now he wants to raise awa… https://t.co/jiLrK4TC53",2018-04-21 13:06:06,-0.0772,0.069,0.849,0.081
BBC,"RT @BBCNews: 41-gun salute at Hyde Park marks the Queen's 92nd birthday 

#QueensBirthday 

https://t.co/GSG5Cg0SgW https://t.co/AqLC6PTJQA",2018-04-21 12:18:18,0.0,0.0,1.0,0.0
BBC,RT @BBCNewsround: Happy birthday to the Queen! 🎉 See Her Majesty's marvellous outfits 👉https://t.co/4weEC55DoU #queensbirthday https://t.co…,2018-04-21 11:11:21,0.7712,0.309,0.691,0.0
BBC,From green tea panna cotta to Earl Grey bread: these recipes are the perfect way to celebrate #NationalTeaDay (with… https://t.co/kv5ZZMQRhE,2018-04-21 11:05:04,0.8225,0.336,0.664,0.0
CBS,"New courage. New hope. New season. 

Season 3 of @CodeBlackCBS premieres TONIGHT at 10/9c on CBS! https://t.co/rR8xUCKlzI",2018-04-25 21:48:49,0.75,0.313,0.687,0.0
CBS,Celebrate #DNADay by letting your forensic flag fly and revisit some classic episodes of @CSI_CBS on CBS All Access… https://t.co/YCbHDK2r4b,2018-04-25 18:09:50,0.5719,0.163,0.837,0.0
CBS,"Get ready for big reveals, dramatic conclusions, and huge guest stars! Find out more about the 2017-2018 season fin… https://t.co/xcBChnjEvH",2018-04-25 16:55:33,0.6239,0.221,0.779,0.0
CBS,Who’s ready to see these moves? 🕺 Tune in to the @latelateshow’s Carpool Karaoke Primetime Special TONIGHT at 10/9c! https://t.co/gjrURqXaPN,2018-04-23 21:03:22,0.6696,0.224,0.776,0.0
CBS,"The 53rd #ACMawards turned into one big party when @KeithUrban and @juliamichaels performed their upbeat single ""Co… https://t.co/Q3Zj3EzuNs",2018-04-22 16:00:03,0.4019,0.137,0.863,0.0
CBS,A blind date was all it took. Learn more about Meghan Markle and her road to royalty from the people who know her b… https://t.co/fEAMUblPQ4,2018-04-20 22:00:01,-0.4019,0.0,0.895,0.105
CBS,RT @carrieunderwood: ICYMI! Watch Carrie’s performance of #CryPretty from the #ACMawards below! -TeamCU https://t.co/T9I3ko2xFu,2018-04-20 17:34:37,0.0,0.0,1.0,0.0
CBS,There's a new addition to the cast of the upcoming revival of Murphy Brown!  Learn more about Tyne Daly's character… https://t.co/ijSXSLyDaR,2018-04-19 20:00:00,0.0,0.0,1.0,0.0
CBS,"Country superstar @LukeBryanOnline delivers his moving anthem ""Most People Are Good"" at the 53rd #ACMawards:… https://t.co/GhhAsEDqmq",2018-04-19 19:00:02,0.4877,0.174,0.826,0.0
CBS,"Coming to CBS All Access June 14, #StrangeAngel is inspired by the real life story of Jack Parsons and explores the… https://t.co/IsPrXRNXye",2018-04-19 17:08:44,0.4939,0.132,0.868,0.0
CBS,When you realize there are TWO episodes of @CrimMinds_CBS tonight! 👏 Who’s ready for the double-episode season fina… https://t.co/CWVAHHeIGr,2018-04-18 21:00:01,0.4199,0.128,0.872,0.0
CBS,Giving you even more reasons to celebrate! 🎉 See which CBS series are back for another year: https://t.co/O2LI0eJXTA https://t.co/H436kL1jSK,2018-04-18 18:57:45,0.8539,0.355,0.645,0.0
CBS,"Watch country star @blakeshelton belt out his beautiful ballad ""I Lived It"" at the 53rd #AMCawards:… https://t.co/w0WRmpQ6fk",2018-04-18 17:00:03,0.5994,0.196,0.804,0.0
CBS,RT @joshgroban: I AM SO HAPPY I COULD CRY BUT ITS MIDNIGHT IN JAPAN SO I WILL SLEEP BUT ‼️‼️‼️‼️👫🏆🎭😭🔜 #TonyAwards2018 https://t.co/NLss47K6…,2018-04-18 15:14:39,0.2284,0.16,0.718,0.122
CBS,Broadway stars @SaraBareilles and @joshgroban will host @TheTonyAwards on June 10! Hear how these multi-talented ar… https://t.co/jy52FKd7t0,2018-04-18 15:10:34,0.0,0.0,1.0,0.0
CBS,Can you believe it’s been 11 years since @taylorswift13’s first-ever performance at the #ACMawards?! Look back at t… https://t.co/QHSPuJLLFb,2018-04-17 00:26:33,0.0,0.0,1.0,0.0
CBS,Waiting for the @ScorpionCBS season finale to start like… Tune in at 10/9c! https://t.co/peoDXtO707,2018-04-16 23:00:02,0.0,0.0,1.0,0.0
CBS,Cast your vote! #ACMawards https://t.co/57ZN5gr6Y1,2018-04-16 17:00:04,0.0,0.0,1.0,0.0
CBS,RT @CBSTweet: #CBSRatingsNews: #ACMawards Dominate on #CBS.  Over 12 million Total Viewers.  +11% year to year increase!  Biggest audience…,2018-04-16 16:02:49,0.2714,0.123,0.806,0.071
CBS,"In case you missed it, watch the entire #ACMawards now: https://t.co/P3pgMJE2oh https://t.co/OOG2R0Mb4J",2018-04-16 15:00:02,-0.296,0.0,0.833,0.167
CBS,Relive a night of all-star country music performances and epic wins at the #ACMawards. Stream the entire show:… https://t.co/iA3SMVIhpA,2018-04-16 06:11:41,0.5719,0.179,0.821,0.0
CBS,Multiple ACM Award Winners @KeithUrban and @carrieunderwood just added one more trophy to their collection with the… https://t.co/rMGCzOeJQK,2018-04-16 06:00:00,0.765,0.292,0.708,0.0
CBS,That's a wrap for the 53rd #ACMawards! 🎬 https://t.co/jM0HKud3d6,2018-04-16 05:55:00,0.0,0.0,1.0,0.0
CBS,"To all of tonight's nominees, we tip our hats to you! 🤠 #ACMawards https://t.co/eytEezfIgS",2018-04-16 05:30:00,0.0,0.0,1.0,0.0
CBS,Retweet if you think @carrieunderwood looks beautiful tonight! #ACMawards https://t.co/sqefiLBcXd,2018-04-16 05:00:00,0.636,0.318,0.682,0.0
CBS,"In case you missed any, here's a rundown of all the performers from Country Music's Party of the Year®:… https://t.co/KtRKXkUpmI",2018-04-16 05:00:00,0.128,0.123,0.776,0.1
CBS,The #ACMawards crowd was roaring for Vocal Event Of The Year winners @KeithUrban and @carrieunderwood! Here is the… https://t.co/rFB5f2lVo7,2018-04-16 03:56:42,0.5255,0.159,0.841,0.0
CBS,RT @AmberLee_RN: Anyone else crying from that @Jason_Aldean acceptance speech?! Wow! Congrats Jason! #vegasstrong #ACMawards,2018-04-16 03:06:10,0.8392,0.44,0.437,0.123
CBS,"Put your hands up for Entertainer of the Year, @Jason_Aldean! 🙌 #ACMawards https://t.co/QLFrrsyU8R",2018-04-16 03:02:50,0.4389,0.182,0.818,0.0
CBS,RT @min_d24: Love how @LukeBryanOnline was straight fan girling on @reba and @kelly_clarkson tonight on the #ACMawards! Y'all #killedit,2018-04-16 03:00:10,0.8268,0.352,0.648,0.0
CBS,"Was that ""A-sharp"" performance by @reba and @kelly_clarkson or what!? 🎼 #ACMawards https://t.co/19pDyrELqC",2018-04-16 02:58:55,0.0,0.0,1.0,0.0
CBS,The news keeps getting better and better. @ChrisStapleton deserves a standing ovation tonight! He wins again for Ma… https://t.co/6m7nZFwPyK,2018-04-16 02:57:41,0.8687,0.395,0.605,0.0
CBS,RT @MattBoveHS: Most People Are Good is such a powerful song #ACMawards @LukeBryanOnline,2018-04-16 02:35:58,0.7152,0.374,0.626,0.0
CBS,We have our #ACMawards Female Vocalist of the Year: @mirandalambert! 👏 https://t.co/Xu7WPuv1f2,2018-04-16 02:26:16,0.0,0.0,1.0,0.0
CBS,"Without this talented group of women, @mirandalambert @reba @MarenMorris @KelseaBallerini and @carrieunderwood, lif… https://t.co/Zwqh2PAdM1",2018-04-16 02:22:40,-0.4023,0.0,0.828,0.172
